Question,Answer
اکثر احترام کیوں ضروری؟,رشتے بہتر بنتے ہیں
حقیقت میں جوتے صاف رکھنے کیوں؟,اچھی عادت اور لمبی عمر
عملاً صداقت کی اہمیت؟,اعتماد پیدا ہوتا ہے
عمومی طور پر چاند زمین کے گرد کتنی دیر میں چکر لگاتا ہے؟,تقریباً 27 دن میں
وعدہ خلافی کا نقصان؟,اعتماد ختم ہوتا ہے
عام حالات میں بارش کیسے ہوتی ہے؟,بادل میں بخارات ٹھنڈے ہو کر قطروں کی شکل میں گرتے ہیں
ہیڈ فون کیا ہے؟,آواز سننے کا ذاتی آلہ
حقیقت میں مہینے کے کتنے ہفتے؟,تقریباً چار ہفتے
عملاً فاسٹ فوڈ زیادہ کھانا کیسا ہے؟,صحت کے لیے نقصان دہ ہو سکتا ہے
عمومی طور پر بجلی کیسے بچائیں؟,غیر ضروری آلات بند کر کے
عمومی طور پر موبائل کو چارج کرتے وقت خیال؟,زیادہ گرم نہ ہونے دیں
عام طور پر قدرتی وسائل کی حفاظت کیوں؟,آنے والی نسلوں کے لیے
پانی کا کیمیائی فارمولا کسے کہتے ہیں؟,پانی کا کیمیائی فارمولا H2O ہے
زیادہ تر سائنسی تجربہ کیا ہے؟,فرضیہ کی جانچ کا طریقہ
صبر کا پھل کیا؟,کامیابی اور سکون
پروٹین کن چیزوں میں ہے؟,انڈے، دودھ، گوشت اور دالوں میں
گھر کے کام میں مدد کیوں؟,ذمہ داری اور تعاون بڑھتا ہے
عام حالات میں جھوٹ بولنا کیسا؟,برداشت نہیں کرنا چاہیے
سائنس پراجیکٹ کیسے بنائیں؟,تحقیق اور تجربہ سے
انٹرنیٹ بینکنگ کیا ہے؟,انٹرنیٹ کے ذریعے بینک کے کام کرنا
حقیقت میں ڈکشنری کا استعمال؟,الفاظ کے معنی جاننے کے لیے
عام طور پر الرجی کیا ہے؟,جسم کا غیر معمولی ردعمل
عام طور پر پودے خشک کیوں نہ ہونے دیں؟,وہ آکسیجن دیتے ہیں
عام طور پر آن لائن تعلیم کا فائدہ؟,گھر بیٹھے سیکھنے کی سہولت
عام طور پر لکھائی کی مشق کیوں؟,لکھنے کی صلاحیت بہتر ہوتی ہے
زیادہ تر پاس ورڈ محفوظ رکھنے کا فائدہ؟,ذاتی معلومات کی حفاظت
عمومی طور پر ویب سائٹ کیا ہے؟,انٹرنیٹ پر معلومات کا صفحہ
زیادہ تر وقت کی پابندی کیوں اہم؟,کام بروقت ہوتا ہے
عملاً زلزلہ کیوں آتا ہے؟,زمین کی تہوں کی حرکت سے
عمومی طور پر بخار آنے پر کیا کریں؟,آرام اور ڈاکٹر سے مشورہ
زیادہ تر بھاپ پانی کی کون سی حالت ہے؟,بھاپ پانی کی گیسی حالت ہے
عملاً پودے گھر میں کیوں؟,ہوا صاف رہتی ہے
زیادہ تر سورج نکلنے کا وقت کیا کہلاتا ہے؟,طلوع آفتاب
عام طور پر گھر کی صفائی کیوں؟,صحت اور خوشگوار ماحول
زیادہ تر سورج کی روشنی کی رفتار کیا ہے؟,تقریباً تین لاکھ کلومیٹر فی سیکنڈ
عام طور پر سال میں کتنے مہینے؟,بارہ مہینے
عام طور پر بلوٹوتھ کیا ہے؟,بغیر تار کے آلات جوڑنے کی ٹیکنالوجی
اکثر مہینے کے کتنے ہفتے؟,تقریباً چار ہفتے
زیادہ تر روشنی کس رفتار سے سفر کرتی ہے؟,روشنی بہت تیز رفتار سے سفر کرتی ہے
عملاً سورج کی روشنی کی رفتار کیا ہے؟,تقریباً تین لاکھ کلومیٹر فی سیکنڈ
صداقت کی اہمیت؟,اعتماد پیدا ہوتا ہے
شکریہ ادا کرنا کیوں؟,قدر کرنے کا اظہار
سورج کی روشنی کی رفتار کسے کہتے ہیں؟,تقریباً تین لاکھ کلومیٹر فی سیکنڈ
اکثر جنگلات کی حفاظت کیوں؟,موسمیاتی توازن کے لیے
عملاً ویب سائٹ کیا ہے؟,انٹرنیٹ پر معلومات کا صفحہ
حقیقت میں اسکول کا بیگ ہلکا کیوں رکھیں؟,کمر کے درد سے بچاؤ
اکثر وعدہ خلافی کا نقصان؟,اعتماد ختم ہوتا ہے
سوشل میڈیا کیا کہلاتا ہے؟,آن لائن معلومات شیئر کرنے کے پلیٹ فارم
حقیقت میں کان کی صفائی کیسے؟,احتیاط سے اور نرمی سے
علم حاصل کرنا کیوں؟,زندگی بہتر بنتی ہے
عمومی طور پر آواز کیسے سفر کرتی ہے؟,ہوا کی لہروں سے
عام طور پر فاسٹ فوڈ زیادہ کھانا کیسا ہے؟,صحت کے لیے نقصان دہ ہو سکتا ہے
سوشل میڈیا کسے کہتے ہیں؟,آن لائن معلومات شیئر کرنے کے پلیٹ فارم
مائیکروفون کیا کرتا ہے؟,آواز ریکارڈ کرتا ہے
عام حالات میں پڑوسیوں سے رویہ کیسا؟,اچھا اور مددگار
اکثر پڑھائی کی روشنی کیسی ہو؟,کافی اور یکساں روشنی
اکثر امتحان کی تیاری کیسے؟,باقاعدہ مطالعہ اور مشق
معافی مانگنا کب؟,غلطی پر
اکثر کیلنڈر کیا بتاتا ہے؟,تاریخ اور دن
عمومی طور پر پاس ورڈ مضبوط کیسے بنائیں؟,حروف، نمبر اور علامات ملا کر
اکثر گاڑی کا ہارن زیادہ بجانا کیسا؟,شور کی آلودگی
عملاً آئینہ کیسے کام کرتا ہے؟,روشنی کی عکاسی سے تصویر دکھاتا ہے
اکثر سورج ڈوبنے کا وقت کیا کہلاتا ہے؟,غروب آفتاب
احترام کیوں ضروری؟,رشتے بہتر بنتے ہیں
حقیقت میں زمین سورج کے گرد کتنی دیر میں چکر لگاتی ہے؟,تقریباً 365 دن میں
اکثر موبائل کا زیادہ استعمال کیسا؟,حد میں رکھنا بہتر ہے
بارش کا پانی جمع کرنے کا فائدہ؟,پانی کی بچت
سولر پینل کیا کرتا ہے؟,سورج کی روشنی سے بجلی بناتا ہے
عمومی طور پر بخیل ہونا کیسا؟,رشتوں کو نقصان پہنچاتا ہے
عمومی طور پر بارش کا پانی پودوں کے لیے کیسا؟,عام طور پر اچھا ہوتا ہے
عمومی طور پر داंत صاف رکھنے کا طریقہ؟,روزانہ برش کرنا چاہیے
موسم کس طرح بدلتے ہیں؟,زمین کے سورج کے گرد چکر سے
عملاً گھڑی کا کام؟,وقت بتانا
زیادہ تر پریزنٹیشن کیسے بنائیں؟,نقاط مرتب کر کے اور مشق کر کے
اکثر سال میں کتنے مہینے؟,بارہ مہینے
حقیقت میں بزرگوں کا احترام کیوں؟,تجربے کی قدر
عام طور پر موسم سرما میں پودوں کا خیال؟,زیادہ پانی سے بچائیں
اکثر خریداری میں کیا خیال؟,معیار اور قیمت کا
اکثر آلودگی کیسے کم کریں؟,عوامی ٹرانسپورٹ اور درخت لگا کر
عام حالات میں لکھائی کی مشق کیوں؟,لکھنے کی صلاحیت بہتر ہوتی ہے
زیادہ تر شکریہ ادا کرنا کیوں؟,قدر کرنے کا اظہار
عمومی طور پر پڑھائی کا بہترین وقت کون سا؟,صبح کا وقت عام طور پر بہتر ہوتا ہے
عمومی طور پر پودے خشک کیوں نہ ہونے دیں؟,وہ آکسیجن دیتے ہیں
اکثر ویب سائٹ کیا ہے؟,انٹرنیٹ پر معلومات کا صفحہ
عمومی طور پر پڑوسیوں سے رویہ کیسا؟,اچھا اور مددگار
عمومی طور پر موسم سرما میں پودوں کا خیال؟,زیادہ پانی سے بچائیں
عام طور پر ہفتے کے کتنے دن؟,سات دن
عمومی طور پر رات کو جلدی سونا کیسا؟,صحت کے لیے اچھا ہے
پھولوں کی دیکھ بھال کیسے؟,پانی اور مناسب روشنی
عمومی طور پر سورج ڈوبنے کا وقت کیا کہلاتا ہے؟,غروب آفتاب
حقیقت میں درخت لگانے کا فائدہ؟,آکسیجن اور صاف ماحول
اکثر قدرتی وسائل کی حفاظت کیوں؟,آنے والی نسلوں کے لیے
عام طور پر جوتوں کی ریک کیوں؟,ترتیب اور جگہ کی بچت
عمومی طور پر گھر میں پودے کیوں لگائیں؟,ماحول صاف اور خوبصورت ہوتا ہے
عمومی طور پر سبزیاں کیوں کھانی چاہییں؟,وٹامنز اور فائبر ملتے ہیں
حقیقت میں بارش میں نکلتے وقت کیا کریں؟,چھتری یا بارش سے بچاؤ
اکثر ریاضی سیکھنے کا فائدہ؟,سوچنے کی صلاحیت بڑھتی ہے
حقیقت میں ریاضی سیکھنے کا فائدہ؟,سوچنے کی صلاحیت بڑھتی ہے
حقیقت میں گھر میں پودے کیوں لگائیں؟,ماحول صاف اور خوبصورت ہوتا ہے
عام طور پر دوستی کیسے نبھائیں؟,ایمانداری اور احترام سے
اکثر رات کو جلدی سونا کیسا؟,صحت کے لیے اچھا ہے
زیادہ تر جنگلات کی حفاظت کیوں؟,موسمیاتی توازن کے لیے
عمومی طور پر نیند کیوں ضروری ہے؟,جسم اور دماغ کو آرام ملتا ہے
زیادہ تر توقع سے زیادہ نمک کھانا کیسا؟,صحت کے لیے نقصان دہ
انٹرنیٹ کیا کہلاتا ہے؟,دنیا بھر کے کمپیوٹرز کا نیٹ ورک
عام طور پر دوستی میں جھوٹ کیسا؟,رشتہ کمزور کرتا ہے
اکثر گاڑی کم چلانے کا فائدہ؟,آلودگی کم ہوتی ہے
زیادہ تر پڑوسیوں سے رویہ کیسا؟,اچھا اور مددگار
عام طور پر کپڑے دھونے کا بہتر طریقہ؟,مناسب صابن اور پانی سے
حقیقت میں وقت کی قدر کیوں؟,وقت واپس نہیں آتا
عملاً سرچ انجن کیا کرتا ہے؟,انٹرنیٹ پر معلومات تلاش کرتا ہے
عام طور پر سمندر کی حفاظت کیوں؟,ماحولیاتی توازن کے لیے
کتاب پڑھنے کا فائدہ؟,علم اور تخیل بڑھتا ہے
برف پانی کی کون سی حالت ہے؟,برف پانی کی ٹھوس حالت ہے
اکثر پاس ورڈ مضبوط کیسے بنائیں؟,حروف، نمبر اور علامات ملا کر
عام طور پر گھر کے کام میں مدد کیوں؟,ذمہ داری اور تعاون بڑھتا ہے
کپڑے دھونے کا بہتر طریقہ؟,مناسب صابن اور پانی سے
عملاً ہفتے کے کتنے دن؟,سات دن
عمومی طور پر آنکھوں کی حفاظت کیسے؟,زیادہ سکرین سے پرہیز اور روشنی کا خیال
حقیقت میں جلد کی حفاظت کیسے؟,سورج سے بچاؤ اور نمی برقرار رکھنا
عام حالات میں ہاتھ دھونا کیوں ضروری ہے؟,جراثیم ختم ہوتے ہیں
حقیقت میں سال کے کتنے موسم؟,چار موسم عام ہیں
پڑھائی کی روشنی کیسی ہو؟,کافی اور یکساں روشنی
مثبت کردار کس طرح؟,اچھے اخلاق اور ذمہ داری سے
زیادہ تر ہفتے کا پہلا دن کون سا؟,پیر یا اتوار علاقے کے مطابق
عمومی طور پر وقت کی قدر کیوں؟,وقت واپس نہیں آتا
عام حالات میں دوستی کیسے نبھائیں؟,ایمانداری اور احترام سے
زیادہ تر سورج کی توانائی کا فائدہ؟,صاف اور لامحدود توانائی
انٹرنیٹ کیا ہے؟,دنیا بھر کے کمپیوٹرز کا نیٹ ورک
زیادہ تر غصے پر قابو کیسے؟,گہری سانس اور سکون سے
بجلی کا میٹر کیا بتاتا ہے؟,استعمال شدہ یونٹس
عام حالات میں چاند پر زندگی ممکن ہے؟,نہیں، چاند پر زندگی ممکن نہیں
اکثر بجلی کا میٹر کیا بتاتا ہے؟,استعمال شدہ یونٹس
عمومی طور پر گاڑی کا ہارن زیادہ بجانا کیسا؟,شور کی آلودگی
عملاً کچرا الگ کیوں کریں؟,ری سائیکلنگ آسان ہوتی ہے
اکثر زخم پر کیا لگانا چاہیے؟,صاف پٹی اور اینٹی سیپٹک
خوش اخلاقی کا فائدہ؟,رشتے بہتر ہوتے ہیں
وائی فائی کسے کہتے ہیں؟,بغیر تار کے انٹرنیٹ کنکشن
زیادہ تر وعدہ خلافی کا نقصان؟,اعتماد ختم ہوتا ہے
عمومی طور پر ای میل کیا ہے؟,الیکٹرانک پیغام بھیجنے کا طریقہ
عام طور پر لائبریری جانے کا فائدہ؟,کتابیں اور پرسکون ماحول
حقیقت میں کتاب پڑھنے کا فائدہ؟,علم اور تخیل بڑھتا ہے
زیادہ تر گھر میں پودے کیوں لگائیں؟,ماحول صاف اور خوبصورت ہوتا ہے
عام حالات میں کچرا الگ کیوں کریں؟,ری سائیکلنگ آسان ہوتی ہے
موبائل ڈیٹا کیا ہے؟,موبائل نیٹ ورک سے انٹرنیٹ
عام طور پر گیس کا بل کیسے کم کریں؟,احتیاط سے استعمال کر کے
عام حالات میں آگ کے لیے کون سی چیز ضروری ہے؟,آکسیجن آگ کے لیے ضروری ہے
عمومی طور پر کمپیوٹر وائرس کیا ہے؟,ایسا پروگرام جو کمپیوٹر کو نقصان پہنچاتا ہے
اکثر تمباکو نوشی کا نقصان؟,کئی بیماریوں کا سبب بنتی ہے
زیادہ تر روبوٹ کیا ہے؟,خودکار مشین جو کام انجام دیتی ہے
عام حالات میں سمندر کی حفاظت کیوں؟,ماحولیاتی توازن کے لیے
عام طور پر سال کے کتنے موسم؟,چار موسم عام ہیں
اکثر گھر کی صفائی کیوں؟,صحت اور خوشگوار ماحول
عام طور پر روزانہ کتنا پانی پینا چاہیے؟,تقریباً آٹھ گلاس
ایپ کسے کہتے ہیں؟,موبائل یا کمپیوٹر پر چلنے والا پروگرام
عمومی طور پر کپڑے دھونے کا بہتر طریقہ؟,مناسب صابن اور پانی سے
اکثر چاند زمین کے گرد کتنی دیر میں چکر لگاتا ہے؟,تقریباً 27 دن میں
عام طور پر انٹرنیٹ کیا ہے؟,دنیا بھر کے کمپیوٹرز کا نیٹ ورک
حقیقت میں سوشل میڈیا کیا ہے؟,آن لائن معلومات شیئر کرنے کے پلیٹ فارم
زیادہ تر احترام کیوں ضروری؟,رشتے بہتر بنتے ہیں
اکثر نیند کیوں ضروری ہے؟,جسم اور دماغ کو آرام ملتا ہے
عام طور پر زمین سورج کے گرد کتنی دیر میں چکر لگاتی ہے؟,تقریباً 365 دن میں
عمومی طور پر جنگلات کی حفاظت کیوں؟,موسمیاتی توازن کے لیے
ندی نالے صاف رکھنے کیوں؟,پانی آلودہ نہیں ہوتا
عمومی طور پر گھر کی صفائی کیوں؟,صحت اور خوشگوار ماحول
عملاً ری سائیکلنگ کیا ہے؟,پرانی چیزوں کا دوبارہ استعمال
غصے پر قابو کیسے؟,گہری سانس اور سکون سے
زیادہ تر کمپیوٹر وائرس کیا ہے؟,ایسا پروگرام جو کمپیوٹر کو نقصان پہنچاتا ہے
عمومی طور پر ماحول کی صفائی کیوں؟,صحت بہتر رہتی ہے
عملاً اساتذہ کا احترام کیوں؟,وہ علم دیتے ہیں
کمپوسٹ کیا ہے؟,قدرتی کھاد بنانے کا طریقہ
اکثر کلاؤڈ سٹوریج کیا ہے؟,انٹرنیٹ پر ڈیٹا محفوظ رکھنے کا طریقہ
آگ کے لیے کون سی چیز ضروری ہے؟,آکسیجن آگ کے لیے ضروری ہے
حقیقت میں غصے پر قابو کیسے؟,گہری سانس اور سکون سے
اکثر آن لائن تعلیم کا فائدہ؟,گھر بیٹھے سیکھنے کی سہولت
عام طور پر ڈکشنری کا استعمال؟,الفاظ کے معنی جاننے کے لیے
عمومی طور پر گیس کے چولہے کا خیال؟,لیکس سے بچاؤ اور حفاظت
حقیقت میں محنتی ہونا کیسا؟,کامیابی کی کنجی ہے
بجلی سے کیسے بچیں؟,گیلے ہاتھوں سے سوئچ نہ چھویں
عام طور پر چاند زمین کے گرد کتنی دیر میں چکر لگاتا ہے؟,تقریباً 27 دن میں
عمومی طور پر سائنسی تجربہ کیا ہے؟,فرضیہ کی جانچ کا طریقہ
زیادہ تر پھل روزانہ کیوں کھائیں؟,وٹامنز اور فائبر ملتے ہیں
قدرتی وسائل کی حفاظت کیوں؟,آنے والی نسلوں کے لیے
عمومی طور پر ندی نالے صاف رکھنے کیوں؟,پانی آلودہ نہیں ہوتا
حقیقت میں ٹریفک قوانین کیوں مانیں؟,حادثات کم ہوتے ہیں
حقیقت میں سورج کی روشنی کی رفتار کیا ہے؟,تقریباً تین لاکھ کلومیٹر فی سیکنڈ
حقیقت میں صبر کا پھل کیا؟,کامیابی اور سکون
زیادہ تر سوال پوچھنا کیوں اچھا؟,سمجھ بہتر ہوتی ہے
عام حالات میں احترام کیوں ضروری؟,رشتے بہتر بنتے ہیں
موبائل کا زیادہ استعمال کیسا؟,حد میں رکھنا بہتر ہے
کچن صاف رکھنے کا فائدہ؟,جراثیم کم ہوتے ہیں
عمومی طور پر سبزی گھر میں کیوں اگائیں؟,تازہ اور صحت مند خوراک
حقیقت میں زخم پر کیا لگانا چاہیے؟,صاف پٹی اور اینٹی سیپٹک
زیادہ تر سبزیاں کیوں کھانی چاہییں؟,وٹامنز اور فائبر ملتے ہیں
عمومی طور پر ذہنی دباؤ کم کرنے کا طریقہ؟,گہری سانس اور سیر
اکثر معافی مانگنا کب؟,غلطی پر
حقیقت میں کچن ہڈ کیوں لگائیں؟,دھواں اور بو کم کرنے کے لیے
عام طور پر ری سائیکلنگ کیا ہے؟,پرانی چیزوں کا دوبارہ استعمال
اکثر دن رات کیسے بنتے ہیں؟,زمین کے گھومنے سے
عملاً ٹریفک قوانین کیوں مانیں؟,حادثات کم ہوتے ہیں
انسائیکلوپیڈیا کیا ہے؟,علم کی جامع کتاب
عام حالات میں وزن کنٹرول کرنے کا طریقہ؟,صحت مند غذا اور ورزش
زیادہ تر ماحول کی صفائی کیوں؟,صحت بہتر رہتی ہے
عام طور پر مثبت کردار کیسے؟,اچھے اخلاق اور ذمہ داری سے
دوستی میں جھوٹ کیسا؟,رشتہ کمزور کرتا ہے
اکثر غصے پر قابو کیسے؟,گہری سانس اور سکون سے
حقیقت میں پڑھائی کا بہترین وقت کون سا؟,صبح کا وقت عام طور پر بہتر ہوتا ہے
عام طور پر بورڈ پر لکھنے کا فائدہ؟,دوسروں کو دکھانے میں آسان
عملاً گھر کے کام میں مدد کیوں؟,ذمہ داری اور تعاون بڑھتا ہے
حقیقت میں سورج نکلنے کا وقت کیا کہلاتا ہے؟,طلوع آفتاب
اکثر وائی فائی کیا ہے؟,بغیر تار کے انٹرنیٹ کنکشن
زیادہ تر جوتے صاف رکھنے کیوں؟,اچھی عادت اور لمبی عمر
عام طور پر کچرا کہاں ڈالیں؟,مخصوص ڈسٹ بن میں
حقیقت میں بادل کیسے بنتے ہیں؟,بخارات کے ٹھنڈے ہونے سے
عملاً روشنی کس رفتار سے سفر کرتی ہے؟,روشنی بہت تیز رفتار سے سفر کرتی ہے
اکثر چاند پر زندگی ممکن ہے؟,نہیں، چاند پر زندگی ممکن نہیں
عام طور پر مہینے کے کتنے ہفتے؟,تقریباً چار ہفتے
عمومی طور پر کچرا کہاں ڈالیں؟,مخصوص ڈسٹ بن میں
حقیقت میں احترام کیوں ضروری؟,رشتے بہتر بنتے ہیں
زیادہ تر صحت مند رہنے کا طریقہ کیا ہے؟,ورزش، صحت مند غذا اور نیند
زیادہ تر کھانا ضائع کیوں نہ کریں؟,وسائل کی بچت ہوتی ہے
حقیقت میں کمپیوٹر کی میموری کیا کرتی ہے؟,ڈیٹا عارضی طور پر محفوظ رکھتی ہے
حقیقت میں معافی قبول کرنا کیسا؟,رشتے بحال ہوتے ہیں
ہفتے کے کتنے دن؟,سات دن
عام طور پر وٹامن ڈی کہاں سے ملتا ہے؟,سورج کی روشنی اور کچھ غذاؤں سے
عملاً سوال پوچھنا کیوں اچھا؟,سمجھ بہتر ہوتی ہے
زیادہ تر الیکٹرک گاڑی کا فائدہ؟,کم آلودگی اور ایندھن کی بچت
حقیقت میں قلم کیسے پکڑیں؟,آرام دہ اور صحیح گرفت سے
تعلیم کیوں لازمی ہے؟,علم بڑھتا ہے اور مواقع ملتے ہیں
اکثر ترازو کیا کرتا ہے؟,وزن ناپتا ہے
اکثر تعلیم کیوں ضروری ہے؟,علم بڑھتا ہے اور مواقع ملتے ہیں
عام حالات میں بجلی کیسے بچائیں؟,غیر ضروری آلات بند کر کے
ڈیجیٹل کیمرہ کیا کرتا ہے؟,تصاویر اور ویڈیوز بناتا ہے
حقیقت میں سخاوت کا فائدہ؟,خوشی اور برکت ملتی ہے
حقیقت میں وائی فائی کیا ہے؟,بغیر تار کے انٹرنیٹ کنکشن
اکثر فیکٹریوں کا دھواں نقصان دہ کیوں؟,ہوا آلودہ ہوتی ہے
عام طور پر باثروم صاف رکھنے کیوں؟,جراثیم اور بدبو سے بچاؤ
عام طور پر نقشہ کا استعمال؟,سمت اور مقام بتانے کے لیے
رنگ کیسے نظر آتے ہیں؟,روشنی کی عکاسی سے
نباتات کو سورج کی روشنی کیوں ضروری ہے؟,فوتوسنتھیس کے ذریعے خوراک بنانے کے لیے
عملاً سورج کس سمت سے نکلتا ہے؟,سورج مشرق سے نکلتا ہے
زیادہ تر ترازو کیا کرتا ہے؟,وزن ناپتا ہے
حقیقت میں ہوم ورک وقت پر کیوں؟,عادت اور سیکھنے کے لیے
عام حالات میں تاریخ پڑھنے کا فائدہ؟,ماضی سے سبق ملتا ہے
حقیقت میں آئینہ کیسے کام کرتا ہے؟,روشنی کی عکاسی سے تصویر دکھاتا ہے
عام حالات میں سرچ انجن کیا کرتا ہے؟,انٹرنیٹ پر معلومات تلاش کرتا ہے
حقیقت میں پاس ورڈ محفوظ رکھنے کا فائدہ؟,ذاتی معلومات کی حفاظت
بارش کا پانی پودوں کے لیے کیسا؟,عام طور پر اچھا ہوتا ہے
کچرا کہاں ڈالیں؟,مخصوص ڈسٹ بن میں
زیادہ تر بجلی سے کیسے بچیں؟,گیلے ہاتھوں سے سوئچ نہ چھویں
بارش میں نکلتے وقت کیا کریں؟,چھتری یا بارش سے بچاؤ
عام حالات میں ذہنی دباؤ کم کرنے کا طریقہ؟,گہری سانس اور سیر
حقیقت میں بجلی کا میٹر کیا بتاتا ہے؟,استعمال شدہ یونٹس
کمپیوٹر کی میموری کیا کرتی ہے؟,ڈیٹا عارضی طور پر محفوظ رکھتی ہے
عمومی طور پر مثبت باتیں کرنے کا فائدہ؟,ماحول خوشگوار ہوتا ہے
ہاتھ دھونا کیوں ضروری ہے؟,جراثیم ختم ہوتے ہیں
عمومی طور پر آئینہ کیسے کام کرتا ہے؟,روشنی کی عکاسی سے تصویر دکھاتا ہے
حقیقت میں جوتوں کی ریک کیوں؟,ترتیب اور جگہ کی بچت
عمومی طور پر مدد کرنے کا فائدہ؟,خوشی اور اچھے رشتے
اکثر ہفتے کا پہلا دن کون سا؟,پیر یا اتوار علاقے کے مطابق
لکھائی کی مشق کیوں؟,لکھنے کی صلاحیت بہتر ہوتی ہے
عام طور پر کی بورڈ کیا کرتا ہے؟,لکھنے اور کمانڈ دینے کا آلہ
ری سائیکلنگ کیا کہلاتا ہے؟,پرانی چیزوں کا دوبارہ استعمال
عام طور پر پریزنٹیشن کیسے بنائیں؟,نقاط مرتب کر کے اور مشق کر کے
عام حالات میں پودے گھر میں کیوں؟,ہوا صاف رہتی ہے
زیادہ تر برف پانی کی کون سی حالت ہے؟,برف پانی کی ٹھوس حالت ہے
پودے خشک کیوں نہ ہونے دیں؟,وہ آکسیجن دیتے ہیں
عام حالات میں مثبت کردار کیسے؟,اچھے اخلاق اور ذمہ داری سے
عمومی طور پر قلم کیسے پکڑیں؟,آرام دہ اور صحیح گرفت سے
حقیقت میں پانی کا کیمیائی فارمولا کیا ہے؟,پانی کا کیمیائی فارمولا H2O ہے
صحت مند رہنے کا طریقہ کیا کہلاتا ہے؟,ورزش، صحت مند غذا اور نیند
عام حالات میں رنگ کیسے نظر آتے ہیں؟,روشنی کی عکاسی سے
عام طور پر دن رات کیسے بنتے ہیں؟,زمین کے گھومنے سے
عام حالات میں سمارٹ فون کیا کرتا ہے؟,بات چیت، انٹرنیٹ اور ایپس چلانے کا آلہ
زیادہ تر نباتات کو سورج کی روشنی کیوں ضروری ہے؟,فوتوسنتھیس کے ذریعے خوراک بنانے کے لیے
بلڈ پریشر کیا ہے؟,خون کی نالیوں میں دباؤ
صبر کیوں ضروری؟,بہتر فیصلے ہوتے ہیں
عمومی طور پر وعدہ پورا کرنا کیوں؟,اعتماد برقرار رہتا ہے
عملاً آلودگی کیسے کم کریں؟,عوامی ٹرانسپورٹ اور درخت لگا کر
بیج کیسے اگائیں؟,مٹی، پانی اور روشنی سے
حقیقت میں کیلشیم کیوں ضروری ہے؟,ہڈیاں اور دانت مضبوط بناتا ہے
عام حالات میں معافی مانگنا کب؟,غلطی پر
عام حالات میں وقت کی پابندی کیوں اہم؟,کام بروقت ہوتا ہے
زیادہ تر سمندر میں کچرا پھینکنے کا نقصان؟,سمندری حیات متاثر ہوتی ہے
بادل کیسے بنتے ہیں؟,بخارات کے ٹھنڈے ہونے سے
حقیقت میں بورڈ پر لکھنے کا فائدہ؟,دوسروں کو دکھانے میں آسان
عملاً جھوٹ بولنا کیسا؟,برداشت نہیں کرنا چاہیے
اکثر مقناطیس کیا کرتا ہے؟,لوہے کو کھینچتا ہے
عمومی طور پر ری سائیکلنگ کیا ہے؟,پرانی چیزوں کا دوبارہ استعمال
عام طور پر احترام کیوں ضروری؟,رشتے بہتر بنتے ہیں
عام حالات میں بھاپ پانی کی کون سی حالت ہے؟,بھاپ پانی کی گیسی حالت ہے
عملاً وزن کنٹرول کرنے کا طریقہ؟,صحت مند غذا اور ورزش
اکثر پانی کا کیمیائی فارمولا کیا ہے؟,پانی کا کیمیائی فارمولا H2O ہے
اکثر بلڈ پریشر کیا ہے؟,خون کی نالیوں میں دباؤ
عام حالات میں کیلنڈر کیا بتاتا ہے؟,تاریخ اور دن
اکثر ورزش کے فائدے کیا ہیں؟,طاقت بڑھتی ہے اور صحت بہتر ہوتی ہے
ماحول کی صفائی کیوں؟,صحت بہتر رہتی ہے
عام حالات میں کتاب پڑھنے کا فائدہ؟,علم اور تخیل بڑھتا ہے
اکثر تاریخ کی تاریخیں کیسے یاد کریں؟,ربط اور دہرائی سے
عام طور پر مقناطیس کیا کرتا ہے؟,لوہے کو کھینچتا ہے
حقیقت میں وقت کا انتظام کیسے؟,ترجیحات اور شیڈول سے
زیادہ تر درخت کٹنے کا نقصان؟,ماحول متاثر ہوتا ہے
سورج کی روشنی کی رفتار کیا ہے؟,تقریباً تین لاکھ کلومیٹر فی سیکنڈ
ترازو کیا کرتا ہے؟,وزن ناپتا ہے
اکثر بارش کیسے ہوتی ہے؟,بادل میں بخارات ٹھنڈے ہو کر قطروں کی شکل میں گرتے ہیں
ری سائیکلنگ کسے کہتے ہیں؟,پرانی چیزوں کا دوبارہ استعمال
حقیقت میں ڈیجیٹل کیمرہ کیا کرتا ہے؟,تصاویر اور ویڈیوز بناتا ہے
عام طور پر پڑھائی کی روشنی کیسی ہو؟,کافی اور یکساں روشنی
عمومی طور پر چاند پر زندگی ممکن ہے؟,نہیں، چاند پر زندگی ممکن نہیں
عملاً نوٹس بنانا کیوں مفید؟,یادداشت بہتر ہوتی ہے
پرنٹر کیا کرتا ہے؟,کاغذ پر پرنٹ کرتا ہے
عملاً کتاب پڑھنے کا فائدہ؟,علم اور تخیل بڑھتا ہے
نوٹس بنانا کیوں مفید؟,یادداشت بہتر ہوتی ہے
عام طور پر سبزیاں کیوں کھانی چاہییں؟,وٹامنز اور فائبر ملتے ہیں
زیادہ تر وقت کا انتظام کیسے؟,ترجیحات اور شیڈول سے
عام حالات میں آکسیجن کہاں سے ملتی ہے؟,زیادہ تر پودوں اور درختوں سے
عام حالات میں صحت مند رہنے کا طریقہ کیا ہے؟,ورزش، صحت مند غذا اور نیند
اکثر پانی کا فلٹر کیوں؟,صاف پانی کے لیے
زیادہ تر آئرن کی کمی سے کیا ہوتا ہے؟,خون کی کمی ہو سکتی ہے
